AYear	Semester	Marker	CourseCode	ExamCategory	ExamDate	ExamSitting	Recorder	RecordDate	RegNo	ExamScore	Checked	Status	Count	Comment														
2009	Semester I I	1	HIV 204	8	2009-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/002	69	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/004	58	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/005	60	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/006	58	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/007	68	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/008	55	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/009	65	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2009-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/010	55	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/011	61	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/012	71	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/013	64	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/014	59	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/015	57	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/016	51	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2009-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/017	65	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/019	57	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/020	53	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/021	77	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/022	61	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/023	56	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/024	64	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2009-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/025	67	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/026	74	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/027	63	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/028	59	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/029	62	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/030	51	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/031	51	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2009-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/033	63	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/034	64	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/035	69	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/036	57	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/038	61	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/039	57	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/040	69	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2009-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/041	64	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/042	53	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/043	68	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/044	63	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/045	71	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/046	63	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/047	64	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2009-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/048	56	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/049	60	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/050	59	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/051	55	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/052	58	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/053	54	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/054	60	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2009-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/055	58	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/056	64	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/057	59	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/058	69	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/059	60	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/061	75	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/062	71	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2009-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/064	61	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/063	62	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/065	76	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/066	62	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/067	68	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/068	68	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/069	52	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2009-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/070	56	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/071	66	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/072	66	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/074	56	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/075	67	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/076	67	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/077	50	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2009-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/078	59	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/079	58	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/080	59	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/081	53	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/082	69	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/083	56	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/084	59	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2009-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/085	62	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/086	56	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/087	58	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/088	58	1	1	0	.														
